0.5 mg/ml diazepam
mass (g)	0.5mg/kg	1mg/kg	5mg/kg
30	0.03	0.06	0.30
31	0.03	0.06	0.31
32	0.03	0.06	0.32
33	0.03	0.07	0.33
34	0.03	0.07	0.34
35	0.04	0.07	0.35
36	0.04	0.07	0.36
37	0.04	0.07	0.37
38	0.04	0.08	0.38
39	0.04	0.08	0.39
40	0.04	0.08	0.40
41	0.04	0.08	0.41
42	0.04	0.08	0.42
43	0.04	0.09	0.43
44	0.04	0.09	0.44
45	0.04	0.09	0.45
46	0.05	0.09	0.46
47	0.05	0.09	0.47
48	0.05	0.10	0.48
49	0.05	0.10	0.49
50	0.05	0.10	0.50
51	0.05	0.10	0.51
52	0.05	0.10	0.52
53	0.05	0.11	0.53
54	0.05	0.11	0.54
55	0.06	0.11	0.55
56	0.06	0.11	0.56
57	0.06	0.11	0.57
58	0.06	0.12	0.58
59	0.06	0.12	0.59
60	0.06	0.12	0.60
61	0.06	0.12	0.61
62	0.06	0.12	0.62
63	0.06	0.13	0.63
64	0.06	0.13	0.64
65	0.07	0.13	0.65
66	0.07	0.13	0.66
67	0.07	0.13	0.67
68	0.07	0.14	0.68
69	0.07	0.14	0.69
70	0.07	0.14	0.70
71	0.07	0.14	0.71
72	0.07	0.14	0.72
73	0.07	0.15	0.73
74	0.07	0.15	0.74
75	0.07	0.15	0.75
76	0.08	0.15	0.76
77	0.08	0.15	0.77
78	0.08	0.16	0.78
79	0.08	0.16	0.79
80	0.08	0.16	0.80
81	0.08	0.16	0.81
82	0.08	0.16	0.82
83	0.08	0.17	0.83
84	0.08	0.17	0.84
85	0.09	0.17	0.85
86	0.09	0.17	0.86
87	0.09	0.17	0.87
88	0.09	0.18	0.88
89	0.09	0.18	0.89
90	0.09	0.18	0.90
91	0.09	0.18	0.91
92	0.09	0.18	0.92
93	0.09	0.19	0.93
94	0.09	0.19	0.94
95	0.10	0.19	0.95
96	0.10	0.19	0.96
97	0.10	0.19	0.97
98	0.10	0.20	0.98
99	0.10	0.20	0.99
100	0.10	0.20	1.00
